base¡¶«∞∏Ì,score,title
S70,0.018196888811890417,Nikon Coolpix S70 12.1MP Digital Camera with 3.5-inch OLED Touch Screen and 5x Wide Angle Optical Vibration Reduction (VR) Zoom (Champagne &amp; Beige)
A85,0.016389075915553407,Canon PowerShot A85 4MP Digital Camera with 3x Optical Zoom
J1,0.008873747002485515,Nikon 1 J1 Digital Camera System with 10-30mm Lens (White) (OLD MODEL)
ISO 800,0.007750330386712472,
D90,0.0064449812548061855,Nikon D90 12.3MP DX-Format CMOS Digital SLR Camera with 18-105 mm f/3.5-5.6G ED AF-S VR DX Nikkor Zoom Lens
D300,0.0061092812459225265,Nikon D300 DX 12.3MP Digital SLR Camera (Body Only)
AF-S,0.005809928113084018,
D-SLR,0.0057248168256293875,
ISO 400,0.005264637404570904,
D4,0.004964010916487432,Nikon D4 16.2 MP CMOS FX Digital SLR with Full 1080p HD Video (Body Only)
